Domaine,Nom,Type de démarche,Commune,Ce qu ils proposent,Public concerné,Référent,Téléphone,Email,Site,Adresse,Horaires,Où envoyer,Comment,Particularité,Délai,Mis à jour,Notes
Éducatif,Infor Jeunes Bruxelles,,Régional / Toutes communes,"Information des jeunes : études, job, logement, droits.",Jeunes,,,,inforjeunesbruxelles.be,,,,,,,,Site à vérifier.
Éducatif,La Ligue des Familles,,Régional / Toutes communes,"Information et soutien à la parentalité, défense des droits des familles.","Familles, parents",,,,laligue.be,,,,,,,,
Éducatif,ONE – Office de la Naissance et de l'Enfance,,Régional / Toutes communes,"Suivi de la grossesse et de la petite enfance, consultations, milieux d'accueil.","Familles, 0–6 ans",,,,one.be,,,,,,,,
Éducatif,SAJ – Service de l'Aide à la Jeunesse,,Régional / Toutes communes,Aide volontaire aux jeunes en difficulté ou en danger.,Jeunes et familles,,,,,,,,,,,,Aide négociée / non contrainte.
Droit des étrangers,ADDE – Association pour le Droit Des Étrangers,,Régional / Toutes communes,Permanence et information juridiques en droit des étrangers.,"Personnes étrangères, professionnels",,,,adde.be,,,,,,,,Permanences téléphoniques pour pros.
Droit des étrangers,Caritas International,,Régional / Toutes communes,Aide et accompagnement des migrants et réfugiés.,"Migrants, réfugiés",,,,caritasinternational.be,,,,,,,,
Droit des étrangers,CIRÉ asbl,,Ixelles,"Coordination et permanences sur le droit des étrangers, l'asile et le séjour.","Personnes étrangères, professionnels",,,,cire.be,"Rue du Vivier 80-82, 1050 Ixelles",,,,,,,
Droit des étrangers,Convivial,,Régional / Toutes communes,"Accompagnement à l'intégration des réfugiés reconnus (logement, emploi, social).",Réfugiés reconnus,,,,convivial.be,,,,,,,,
Droit des étrangers,CRIPA – Accueil des primo-arrivants (Anderlecht),,Anderlecht,"Accueil et accompagnement des primo-arrivants, médiation interculturelle entre les citoyens et les institutions, projets d'inclusion sociale.",Primo-arrivants et professionnels en contact avec ce public,,02 526 11 70,cripa@anderlecht.brussels,anderlecht.be/fr/accueil-primo-arrivants,"Clos de l'Equerre 9, 1070 Anderlecht",,,,,,,Cellule Relations Interculturelles et Primo-Arrivants de la commune. Autre contact : inclusion@anderlecht.brussels
Droit des étrangers,Fedasil,,Régional / Toutes communes,Accueil des demandeurs de protection internationale.,Demandeurs d'asile,,,,fedasil.be,,,,,,,,
Droit des étrangers,Myria – Centre fédéral Migration,,Régional / Toutes communes,"Information sur les droits fondamentaux des étrangers, regroupement familial.",Tout public,,,,myria.be,,,,,,,,
Droit des étrangers,Office des Étrangers,,Bruxelles-Ville,Administration compétente pour le séjour et l'asile.,Tout public,,,,dofi.ibz.be,"Chaussée d'Anvers 59B, 1000 Bruxelles",,,,,,,Administration — pas un service d'aide.
Droit des étrangers,Point d'Appui,,Régional / Toutes communes,Accompagnement social et juridique des personnes sans papiers.,Personnes sans séjour légal,,,,pointdappui.be,,,,,,,,
Juridique,Bureau d'Aide Juridique (BAJ) – Bruxelles,,Régional / Toutes communes,Avocat pro deo (gratuit ou peu coûteux selon revenus).,Selon conditions de revenus,,,,,,,,,,,,Aide juridique de 2e ligne.
Juridique,Maisons de Justice,,Régional / Toutes communes,"Accès à la justice, guidance, mesures judiciaires.",Tout public,,,,,,,,,,,,
Juridique,SDJ – Service Droit des Jeunes,,Régional / Toutes communes,Aide juridique et sociale spécialisée pour les mineurs et jeunes.,Jeunes,,,,sdj.be,,,,,,,,Site à vérifier.
Juridique,Services d'Aide aux Justiciables,,Régional / Toutes communes,"Aide sociale, psychologique et juridique aux victimes et aux justiciables.","Victimes, inculpés, détenus, proches",,,,,,,,,,,,
Logement,Agences Immobilières Sociales (AIS),,Régional / Toutes communes,"Location de logements à loyer modéré, accompagnement.",Ménages à revenus modestes,,,,,,,,,,,,Ajouter l'AIS de votre commune.
Logement,DIOGENES,,Régional / Toutes communes,"Travail de rue auprès des personnes sans-abri, accompagnement vers le logement.",Personnes sans-abri,,,,diogenes.brussels,,,,,,,,
Logement,L'Ilot,,Régional / Toutes communes,Maisons d'accueil et accompagnement vers le logement et la réinsertion.,Personnes sans logement,,,,ilot.be,,,,,,,,
Logement,Logement social bruxellois (SLRB),,Régional / Toutes communes,Attribution de logements sociaux.,Ménages à faibles revenus,,,,slrb.brussels,,,,,,,,Site à vérifier.
Logement,Maisons d'accueil (AMA),,Régional / Toutes communes,Hébergement et accompagnement des personnes sans logement.,"Personnes sans-abri, en rupture",,,,ama.be,,,,,,,,Site à vérifier.
Médical,Aquarelle – CHU Saint-Pierre,,Bruxelles-Ville,Suivi de grossesse et périnatalité pour femmes en situation précaire ou sans papiers.,Femmes enceintes précarisées,,,,stpierre-bru.be,"Rue Haute 322, 1000 Bruxelles",,,,,,,Accompagnement médico-social.
Médical,Centres de Planning Familial,,Régional / Toutes communes,"Contraception, IVG, dépistage, écoute, consultations.",Tout public,,,,loveattitude.be,,,,,,,,Site à vérifier.
Médical,Fédération des Maisons Médicales (FMM),,Régional / Toutes communes,Répertoire des maisons médicales et infos sur l'accès aux soins.,Tout public,,,,maisonmedicale.org,"Boulevard du Midi 25/5, 1000 Bruxelles",,,,,,,Pour trouver la maison médicale d'une commune.
Médical,Free Clinic,,Ixelles,"Santé accessible : médecine générale, planning familial, assuétudes, social.","Tout public, sans condition",,02 512 13 14,,freeclinic.be,"Chaussée de Wavre 154a, 1050 Bruxelles",,,,,,,
Médical,Infirmiers de rue,,Régional / Toutes communes,"Soins infirmiers en rue, accompagnement vers un logement durable et maintien dans le logement, équipe santé mentale, formation et sensibilisation.",Personnes sans-abri et très précarisées,,02 265 33 00,info@idr-sv.org,infirmiersderue.be,"Rue Gheude 21-25/4, 1070 Bruxelles",Lun–Jeu 9h–13h / 14h–17h,,,,,,Travaille en rue dans tout Bruxelles (également à Liège).
Médical,Médecins du Monde – CASO Bruxelles,,Bruxelles-Ville,Consultations pour personnes sans couverture santé.,Personnes sans mutuelle / sans-papiers,,,,medecinsdumonde.be,,,,,,,,
Médical,Modus Vivendi,,Régional / Toutes communes,"Réduction des risques liés à l'usage de drogues, matériel stérile, information.","Usagers de drogues, pros",,,,modusvivendi-be.org,,,,,,,,
Médical,SAMPAS – Réseau Hépatite C Bruxelles,,Régional / Toutes communes,"Service d'Accompagnement Mobile pour l'Accès aux Soins : équipe pluridisciplinaire (médecin, travailleurs sociaux, infirmiers) qui va vers les personnes, coordonne l'accès aux soins et accompagne vers le dépistage et le traitement de l'hépatite C.","Usagers de drogues et publics précarisés, professionnels",,02 506 70 92,sampas@stpierre-bru.be,reseauhepatitec.be,"CHU Saint-Pierre, Rue Haute 322, 1000 Bruxelles",,,,,,,Service mobile : se déplace dans Bruxelles. Coordonné par l'asbl Réseau Hépatite C – Bruxelles (info@reseauhepatitec.be).
Médical,WOPS – Woluwe-Saint-Lambert (voir aussi Santé mentale),,Woluwe-Saint-Lambert,Soins psychiatriques et médico-psycho-sociaux pluridisciplinaires.,Adultes,,,info@wops-asbl.be,wops-asbl.be,"Chaussée de Roodebeek 471, 1200 Bruxelles",,,,,,,
Méthodes de travail,Aide Médicale Urgente (AMU),,,"Repère pour les personnes sans séjour légal — information générale, non juridique.",,,,,,,,,,,,,"L'AMU permet des soins pour les personnes en séjour irrégulier, via le CPAS.
• Orienter la personne vers le CPAS de sa commune
• Un médecin atteste le caractère « urgent » des soins
• En parallèle : Médecins du Monde (CASO) pour l'accès aux soins

⚠️ Confirmer la procédure avec le CPAS concerné."
Méthodes de travail,Orientation « droit des étrangers »,,,Quand et vers qui rediriger.,,,,,,,,,,,,,"Ne pas donner de conseil juridique soi-même.
• Questions de séjour / regroupement familial → ADDE, CIRÉ, Myria
• Demande d'asile → Fedasil, avocat spécialisé (BAJ)
• Toujours vérifier les délais : ils sont souvent courts et impératifs."
Méthodes de travail,Ouverture d'un dossier CPAS,,,Étapes types — vérifier selon la commune de résidence.,,,,,,,,,,,,,"• Déterminer la commune de résidence (= CPAS compétent)
• Pièces : composition de ménage, revenus, bail, identité
• Prise de rendez-vous / permanence
• Délais légaux d'instruction
• Suivi : RIS, aide médicale, aide sociale complémentaire

👉 Adapter aux pratiques de chaque CPAS."
Méthodes de travail,Premier accueil d'un bénéficiaire,,,Trame d'entretien d'accueil — à adapter par l'équipe.,,,,,,,,,,,,,"1. Identité et situation familiale
2. Besoins prioritaires : logement, santé, revenus, séjour, sécurité
3. Droits déjà ouverts : mutuelle, CPAS, allocations
4. Information sur la confidentialité (RGPD) et recueil du consentement
5. Première orientation et prochain rendez-vous

👉 À compléter avec vos propres points de vigilance."
Santé mentale,Centre de Prévention du Suicide,,Régional / Toutes communes,Écoute pour personnes en détresse et leur entourage.,Tout public,,0800 32 123,,preventionsuicide.be,,24h/24,,,,,,Gratuit. Site à vérifier.
Santé mentale,Le Méridien – SSM,,Saint-Josse-ten-Noode,Service de Santé Mentale : consultations psychologiques et psychiatriques.,Tout public,,,,lemeridien.be,,,,,,,,
Santé mentale,Services de Santé Mentale (SSM),,Régional / Toutes communes,Consultations psychologiques et psychiatriques ambulatoires.,Tout public,,,,,,,,,,,,Un SSM par zone : ajouter celui de votre secteur.
Santé mentale,Similes Bruxelles,,Régional / Toutes communes,Soutien aux familles et proches de personnes en souffrance psychique.,Proches et aidants,,,,similes.org,,,,,,,,
Santé mentale,SSM Ulysse,,Régional / Toutes communes,"Santé mentale pour personnes exilées, demandeurs d'asile et sans-papiers.","Migrants, exilés",,,,ulysse-ssm.be,,,,,,,,"Consultations, interprétariat possible."
Santé mentale,WOPS – Woluwe-Psycho-Social,,Woluwe-Saint-Lambert,"Service de Santé Mentale : consultations, centre de jour et de nuit, lieu de liens.",Adultes,,,info@wops-asbl.be,wops-asbl.be,"Chaussée de Roodebeek 471, 1200 Bruxelles",,,,,,,Affilié Iriscare / Cocof.
Social,Bruxelles Social (social.brussels),,Régional / Toutes communes,Annuaire de référence de tous les services sociaux et de santé bruxellois.,Professionnels et particuliers,,,,social.brussels,,,,,,,,Base incontournable pour compléter cet annuaire.
Social,CPAS d'Anderlecht,,Anderlecht,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 529 41 20,,cpas-ocmw.anderlecht.be,"Avenue R. Vander Bruggen 62-64, 1070 Bruxelles",,,,,,,
Social,CPAS d'Auderghem,,Auderghem,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 679 94 10,,cpasauderghem.be,"Avenue du Paepedelle 87, 1160 Bruxelles",,,,,,,
Social,CPAS d'Etterbeek,,Etterbeek,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 627 22 57,,cpas-etterbeek.brussels,"Rue Beckers 4, 1040 Bruxelles",,,,,,,
Social,CPAS d'Evere,,Evere,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 247 65 65,,cpasevere.brussels,"Square Servaes Hoedemaekers 11, 1140 Bruxelles",,,,,,,
Social,CPAS d'Ixelles,,Ixelles,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 641 54 59,,cpasixelles.brussels,"Rue Jean Paquot 63B, 1050 Bruxelles",,,,,,,
Social,CPAS d'Uccle,,Uccle,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 370 75 11,,cpasuccle.be,"Chaussée d'Alsemberg 860, 1180 Bruxelles",,,,,,,
Social,CPAS de Berchem-Sainte-Agathe,,Berchem-Sainte-Agathe,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 482 13 55,,cpasberchem.brussels,"Avenue de Selliers de Moranville 91, 1082 Bruxelles",,,,,,,
Social,CPAS de Forest,,Forest,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 349 63 00,,cpasforest.irisnet.be,"Rue du Curé 35, 1190 Bruxelles",,,,,,,
Social,CPAS de Ganshoren,,Ganshoren,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 436 63 63,,cpasganshoren.be,"Avenue Charles-Quint 30-32, 1083 Bruxelles",,,,,,,
Social,CPAS de Jette,,Jette,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 422 46 11,,jette.irisnet.be,"Rue de l'Église Saint-Pierre 47-49, 1090 Bruxelles",,,,,,,
Social,CPAS de Koekelberg,,Koekelberg,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 412 16 52,,koekelberg.be,"Rue François Delcoigne 39, 1081 Bruxelles",,,,,,,
Social,CPAS de la Ville de Bruxelles,,Bruxelles-Ville,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 543 63 39,,cpasbxl.brussels,"Rue Haute 296, 1000 Bruxelles",,,,,,,
Social,CPAS de Molenbeek-Saint-Jean,,Molenbeek-Saint-Jean,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 412 47 70,,cpas-molenbeek.be,"Rue Alphonse Vandenpeereboom 14, 1080 Bruxelles",,,,,,,
Social,CPAS de Saint-Gilles,,Saint-Gilles,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 600 54 11,,cpas1060.be,"Rue Fernand Bernier 40, 1060 Bruxelles",,,,,,,
Social,CPAS de Saint-Josse-ten-Noode,,Saint-Josse-ten-Noode,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,0800 35 254,,sjtn.brussels,"Rue Verbist 88, 1210 Bruxelles",,,,,,,
Social,CPAS de Schaerbeek,,Schaerbeek,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 435 50 90,,cpas-schaerbeek.brussels,"Boulevard Reyers 70, 1030 Bruxelles",,,,,,,
Social,CPAS de Watermael-Boitsfort,,Watermael-Boitsfort,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 663 08 68,,cpas1170.brussels,"Boulevard du Souverain 24, 1170 Bruxelles",,,,,,,
Social,CPAS de Woluwe-Saint-Lambert,,Woluwe-Saint-Lambert,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 777 75 31,,cpas1200.be,"Rue de la Charrette 27, 1200 Bruxelles",,,,,,,
Social,CPAS de Woluwe-Saint-Pierre,,Woluwe-Saint-Pierre,"Revenu d'intégration (RIS), aide sociale, guidance budgétaire, aide médicale urgente.",Habitants de la commune,,02 773 59 00,,cpas-ocmw1150.be,"Drève des Shetlands 15, 1150 Bruxelles",,,,,,,
Social,Croix-Rouge de Belgique,,Régional / Toutes communes,"Aide alimentaire, vestiboutiques, aide aux migrants, accompagnement.",Tout public,,,,croix-rouge.be,,,,,,,,
Social,DoucheFLUX,,Bruxelles-Ville,"Douches, buanderie, casiers et services pour personnes sans-abri.",Personnes sans-abri,,,,doucheflux.be,,,,,,,,Site à vérifier.
Social,Fédération des Services Sociaux,,Régional / Toutes communes,Coordination de l'aide alimentaire et des services sociaux.,Professionnels,,,,fdss.be,,,,,,,,Site à vérifier.
Social,Les Petits Riens,,Saint-Gilles,"Aide matérielle, seconde main, hébergement et réinsertion socioprofessionnelle.",Personnes précarisées,,02 541 13 86,,petitsriens.be,"Rue Américaine 101, 1050 Bruxelles",,,,,,,
Social,Restos du Cœur de Bruxelles,,Régional / Toutes communes,"Aide alimentaire, accueil de jour, colis et repas chauds.",Personnes en précarité,,,,restosducoeur.be,,,,,,,,Plusieurs antennes — vérifier la plus proche.
Urgences,101 – Police,,Régional / Toutes communes,Police secours.,Tout public,,101,,,,24h/24 – 7j/7,,,,,,
Urgences,"112 – Secours (ambulance, pompiers)",,Régional / Toutes communes,"Urgence vitale, ambulance et pompiers.",Tout public,,112,,,,24h/24 – 7j/7,,,,,,Numéro gratuit.
Urgences,Centre Antipoisons,,Régional / Toutes communes,Conseils en cas d'intoxication.,Tout public,,070 245 245,,,,24h/24 – 7j/7,,,,,,
Urgences,Écoute Violences Conjugales,,Régional / Toutes communes,Ligne d'écoute pour les violences entre partenaires.,Tout public,,0800 30 030,,ecouteviolencesconjugales.be,,24h/24 – 7j/7,,,,,,Gratuit.
Urgences,Écoute-Enfants – 103,,Régional / Toutes communes,Ligne d'écoute pour enfants et jeunes.,Enfants et jeunes,,103,,,,10h–24h,,,,,,Gratuit et anonyme.
Urgences,Garde médicale (nuit / week-end) – 1710,,Régional / Toutes communes,Médecin de garde à Bruxelles hors heures d'ouverture.,Tout public,,1710,,,,"Soirs, week-ends et jours fériés",,,,,,
Urgences,Infor-Drogues,,Régional / Toutes communes,Écoute et information sur les drogues et les dépendances.,Tout public,,02 227 52 52,,infordrogues.be,,,,,,,,À vérifier.
Urgences,Samusocial – sans-abri,,Régional / Toutes communes,"Maraudes, mise à l'abri et hébergement d'urgence.",Personnes sans-abri,,0800 99 340,,samusocial.be,,24h/24,,,,,,Numéro central sans-abri.
Urgences,SOS Viol,,Régional / Toutes communes,"Écoute et accompagnement des victimes de violences sexuelles, anonyme.",Victimes et proches,,0800 98 100,,sosviol.be,,,,,,,,Gratuit et anonyme. À vérifier.
Urgences,Télé-Accueil Bruxelles – 107,,Régional / Toutes communes,"Écoute et soutien par téléphone, anonyme.",Tout public,,107,,,,24h/24 – 7j/7,,,,,,Anonyme et gratuit.
